seed,rank_within_seed,departure_date,launch_epoch,arrival_epoch,total_dsm_kms,objective_total_dv_kms,c3_kms2,arrival_vinf_kms,total_tof_years,detail_file,detail_json_path
seed42,10,2034-03-15,2034-Mar-15 08:59:46.370459,2040-Dec-27 11:08:01.286789,1.706988630108,1.706988630108,15.000000000000,6.763981403402,6.787375938485,rank_010.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_010.json
seed42,11,2034-03-30,2034-Mar-30 23:29:19.670124,2041-Sep-20 14:27:39.718898,1.785969846112,1.785969846112,14.733030568684,5.446916390062,7.476040638349,rank_011.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_011.json
seed42,12,2034-03-30,2034-Mar-30 23:29:19.670124,2041-Oct-17 13:51:41.762720,1.788126144346,1.788126144346,14.820022020933,5.449512827755,7.549894228097,rank_012.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_012.json
seed42,13,2034-03-30,2034-Mar-30 23:29:19.670124,2041-Oct-16 14:36:55.404456,1.797161073237,1.797161073237,14.805543234014,5.453001677767,7.547242367428,rank_013.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_013.json
seed42,14,2034-03-30,2034-Mar-30 23:29:19.670124,2041-Oct-23 23:28:33.695418,1.806049796818,1.806049796818,14.820022020933,5.442189449179,7.567418118783,rank_014.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_014.json
seed42,15,2034-03-22,2034-Mar-22 14:53:26.543814,2041-Sep-02 04:22:24.182515,1.808937445421,1.808937445421,13.392784888617,5.795464681117,7.448492205957,rank_015.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_015.json
seed42,16,2034-03-30,2034-Mar-30 23:29:19.670124,2041-Sep-30 07:26:58.887668,1.821139491554,1.821139491554,14.993190867709,5.460669322530,7.502619312544,rank_016.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_016.json
seed42,17,2034-03-30,2034-Mar-30 23:29:19.670124,2041-Nov-05 05:15:37.846925,1.826084011109,1.826084011109,14.805543234014,5.503671425109,7.600932205770,rank_017.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_017.json
seed42,18,2034-03-30,2034-Mar-30 23:29:19.670124,2041-Oct-25 16:17:15.176017,1.839711601666,1.839711601666,14.930447060164,5.462134943095,7.572073779562,rank_018.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_018.json
seed42,19,2034-03-30,2034-Mar-30 23:29:19.670124,2041-Oct-23 23:28:33.695418,1.843533786255,1.843533786255,14.805543234014,5.461950896216,7.567418118783,rank_019.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_019.json
seed42,20,2034-03-30,2034-Mar-30 23:29:19.670124,2041-Oct-08 11:06:54.483106,1.883038418839,1.883038418839,14.714836535116,5.442341077743,7.524940262028,rank_020.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_020.json
